numClub,AdressePostale
534006,29 RUE ROBERT POTHIER 28200 LUTZ EN DUNOIS
504919,41 RUE RENE ET JEAN LEFEVRE 28130 PIERRES
516125,RUE PIERRE DE COUBERTIN 28300 MAINVILLIERS
505210,12 Rue du Docteur PEAN 28200 MARBOUE
533190,5 chemin des Canons 28500 MARVILLE MOUTIERS BRULE
521499,17 rue des mairies 28500 MEZIERES EN DROUAIS
529927,6 RUE DU TERTRE 28630 NOGENT LE PHAYE
512690,1 Rue de la Porte Chartraine 28210 NOGENT LE ROI
504849,3 RUE DES ACACIAS 28404 NOGENT LE ROTROU CEDEX
552017,70 rue nationale 28140 ORGERES EN BEAUCE
504863, 28500 SAULNIERES
552742,STADE : Avenue de Badouleau 28250 SENONCHES
505146,2 RUE LOUIS ISAMBERT 28630 SOURS
518760,RUE DU 17 JUIN 1940 28190 ST GEORGES SUR EURE
545810, 28380 ST REMY SUR AVRE
537739,RUE DU GENERAL DE GAULLE 28380 ST REMY SUR AVRE
526500, 28700 ST SYMPHORIEN LE CHATEAU
527562, 28480 THIRON GARDAIS
532177,7 ROUTE DE CHATEAUNEUF 28170 TREMBLAY LES VILLAGES
545549,33 GRANDE RUE 28500 TREON
553049,6 RUE DES CHENES 28500 VERNOUILLET
504971,5 rue roger gommier 28150 LES VILLAGES VOVEENS
504942,Grande rue 28210 VILLEMEUX SUR EURE
505175, 28150 YMONVILLE
504914, 36140 AIGURANDE
518708, 36120 AMBRAULT
535048, 36210 ANJOUIN
500417,Rue des grands Buissons 36120 ARDENTES
580934,9 rue louise michel 36200 ARGENTON SUR CREUSE
504876,Rue Lothaire Kubel 36200 ARGENTON SUR CREUSE
518707, 36500 ARGY
546477,7 PLACE DE VERDUN 36290 AZAY LE FERRON
504994,8 AVENUE JEAN JAURES 36370 BELABRE
521932,rue des Davignons 36100 LES BORDES
518972, 36110 BOUGES LE CHATEAU
540400,4 PLACE JEAN MOULIN 36400 BRIANTES
580513,1 ROUTE D'ISSOUDUN 36110 BRION
521071, 36150 BUXEUIL
504869, 36500 BUZANCAIS
560383,45 rue de Paumule 36200 CEAULMONT
504888,9 PL ALBERT BOIVIN 36210 CHABRIS
551976, 36400 CHASSIGNOLLES
853505,28 ALLEE DES SABLONS 36000 CHATEAUROUX
851775,RUE CHARLES CROS 36000 CHATEAUROUX
582040,3 RUE SIMONE WEIL 36000 CHATEAUROUX
522503,RUE DU CHAMP LE ROY 36000 CHATEAUROUX
560541,110 RUE DE BELLE RIVE 36000 CHATEAUROUX
504993,3 RUE D'AUVERGNE 36000 CHATEAUROUX
546126,5 rue frédéric chopin 36000 CHATEAUROUX
563691,10/154 RUE EISENHOWER 36000 CHATEAUROUX
500098,10 ALLEE DE BEAUMARCHAIS 36000 CHATEAUROUX
581737,120 rue Montaigne BP 15 36000 CHATEAUROUX
590298,13 RUE CHAUVIGNY 36000 CHATEAUROUX
560637,30 Bel Air 36500 CHEZELLES
516928, 36300 CIRON
548217, 36700 CLION
504905, 36340 CLUIS
590695, 36130 COINGS
560406, 36300 CONCREMIERS
504896,181 AVENUE DU GL DE GAULLE 36130 DEOLS
548187,2 rue des ecoles 36130 DIORS
524568, 36240 ECUEILLE
521075, 36270 EGUZON CHANTOME
522508,RUE SULLY 36120 ETRECHET
547419, 36110 FRANCILLON
528794,5 Chemin de la Fosse Gaultier 36300 INGRANDES
500120,Route de Bourges 36100 ISSOUDUN
539717, 36120 JEU LES BOIS
504955,CHEMIN DE LA JUSTICE 36400 LA CHATRE
504874,5 RUE PIERRE DE COUBERTIN 36300 LE BLANC
513277,RUE DU 30 AOUT 44 36330 LE POINCONNET
520564, 36800 LE PONT CHRETIEN CHABENET
860322, 36100 LES BORDES
544727, 36110 LEVROUX
517326, 36370 LIGNAC
516380,29 rue de villelune 36150 VATAN
526408,RUE DU 8 MAI 36350 LUANT
511653, 36120 MARON
547636,33 route du stade 36220 MARTIZAY
560555,10 RUE DE LA MAIRIE 36140 MONTCHEVRIER
525434, 36140 MONTCHEVRIER
525435,RUE DU PONT 36400 MONTGIVRAY
564142,20D Chemin du Ch'tit Village 36130 MONTIERCHAUME
560632,1 Place Raymond Couturier 36130 MONTIERCHAUME
510635,2 chemin de croix 36130 MONTIERCHAUME
563807,14 RUE DE LA REPUBLIQUE 36230 MONTIPOURET
520959, 36200 MOSNAY
512285, 36110 MOULINS SUR CEPHONS
514988, 36100 NEUVY PAILLOUX
581385,Mairie place Georges Clémenceau 36230 NEUVY ST SEPULCHRE
505274,Place de l'Eglise 36250 NIHERNE
522509, 36400 NOHANT VIC
529338, 36290 OBTERRE
505308, 36500 PALLUAU SUR INDRE
540468, 36170 PARNAC
505033, 36210 POULAINES
535046,2 36160 POULIGNY NOTRE DAME
526142, 36300 POULIGNY ST PIERRE
524466, 36120 PRUNIERS
505293,6 PLACE DES ECOLES 36260 REUILLY
525834, 36120 SASSIERGES ST GERMAIN
526412, 36160 SAZERAY
549286,1 RUE DE LA MAIRIE 36100 SEGRY
504911, 36120 ST AOUT
590693,15 rue roland meignien 36370 PRISSAC
582096,ROUTE DE BOISSIERE 36170 ST BENOIT DU SAULT
582133,4 PLACE DE L'ÉGLISE 36230 ST DENIS DE JOUHET
