numClub,AdressePostale,Latitude,Longitude
560503,Place des Halles 28410 BU,48.79690660000001,1.4931197
520961,15 RUE DE LA MAIRIE 28300 CHAMPHOL,48.46900429999999,1.4998646
529043,21 PLACE ST LOUIS 28000 CHARTRES,48.4463501,1.5174153
560241,7 Place des Fondeurs 28000 CHARTRES,48.45241619999999,1.4917498
552390,31 RUE DE BRETIGNY 28000 CHARTRES,48.44018089999999,1.5058367
582560,3 BIS RUE JEAN MONNET 28000 CHARTRES,48.4498764,1.503724
529647,1 RUE ST.MARTIN DU VAL 28000 CHARTRES,48.4370774,1.4932223
854549,PLACE DU 18 OCTOBRE 28200 CHATEAUDUN,48.0702003,1.3282333
582397,2 rue Andre Perdrix 28200 CHATEAUDUN,48.0806756,1.3471826
500551,rue Abel Méret 28200 CHATEAUDUN,48.07873,1.322438
504860,2 rue hubert latham 28170 CHATEAUNEUF EN THYMERAIS,48.5809982,1.2420935
529648,50 RUE CHARLES DE GAULLE 28500 CHERISY,48.7468581,1.4244819
504939,28300 CLEVILLIERS,48.543237,1.38867
544959,VAL FLEURI 28220 CLOYES SUR LE LOIR,48.002478,1.233193
504897,Rue Pannard 28190 COURVILLE SUR EURE,48.4484296,1.2396228
548860,28360 DAMMARIE,48.343929,1.493526
505188,28200 DONNEMAIN ST MAMES,48.106777,1.3687419
534014,14 PLACE DES ORIELS 28100 DREUX,48.7383621,1.3905072
531732,2 CHEMIN RURAL N° 13 28100 DREUX,48.7513733,1.3451398
553200,41 rue Hoche 28100 DREUX,48.722583,1.3821842
560993,2 Allée de la croix Tienac 28100 DREUX,48.7357807,1.3889728
542198,19 RUE PASTRE 28100 DREUX,48.73407359999999,1.3742435
504907,1 ROUTE DE GALLARDON 28230 EPERNON,48.6051766,1.6731424
514338,18 rue de Laborde 28340 LA FERTE VIDAME,48.611497,0.9007843999999999
547678,2 RUE CHARLES PEGUY 28190 FONTAINE LA GUYON,48.4740447,1.3129074
509578,CHEMIN DE PARIS 28320 GALLARDON,48.5264865,1.6961433
504945,28800 LE GAULT ST DENIS,48.24388099999999,1.484329
529939,Rue de la Barre 28130 HANCHES,48.6003969,1.6425528
504910,route de courville 28120 ILLIERS COMBRAY,48.305356,1.240848
582646,15 PLACE DU MARTROI 28310 JANVILLE,48.2001035,1.8829094
521926,4 PLACE DE L'EGLISE 28300 JOUY,48.5118231,1.5506078
526748,28200 LANNERAY,48.085974,1.238798
560553,32 Rue du Gord 28630 LE COUDRAY,48.4304734,1.4909211
519137,28300 LEVES,48.469994,1.480882
531728,28200 LOGRON,48.147655,1.262087
510326,1 Rue de l'Europe 28240 LA LOUPE,48.4799789,1.0025291
505133,RUE JEAN BOUDRIE 28110 LUCE,48.4416495,1.4537086
528291,108 rue de la république 28110 LUCE,48.43966899999999,1.4614936
505161,98 Rue Des Terres Douces 28600 LUISANT,48.4231765,1.4629492
582519,14 RUE DE DREUX 28500 LURAY,48.7236196,1.3946618
534006,29 RUE ROBERT POTHIER 28200 LUTZ EN DUNOIS,48.0595146,1.4137554
504919,41 RUE RENE ET JEAN LEFEVRE 28130 PIERRES,48.5887222,1.5716709
516125,RUE PIERRE DE COUBERTIN 28300 MAINVILLIERS,48.4470186,1.4691444
505210,12 Rue du Docteur PEAN 28200 MARBOUE,48.1130545,1.3316643
533190,5 chemin des Canons 28500 MARVILLE MOUTIERS BRULE,48.6849034,1.388695
521499,17 rue des mairies 28500 MEZIERES EN DROUAIS,48.72402049999999,1.4397744
529927,6 RUE DU TERTRE 28630 NOGENT LE PHAYE,48.446655,1.5771253
512690,1 Rue de la Porte Chartraine 28210 NOGENT LE ROI,48.6480535,1.5307929
504849,3 RUE DES ACACIAS 28404 NOGENT LE ROTROU CEDEX,48.32426170000001,0.8055272
552017,70 rue nationale 28140 ORGERES EN BEAUCE,48.145775,1.6807583
504863,28500 SAULNIERES,48.65852599999999,1.27365
552742,STADE : Avenue de Badouleau 28250 SENONCHES,48.5538349,1.0018017
505146,2 RUE LOUIS ISAMBERT 28630 SOURS,48.4123413,1.59792
518760,RUE DU 17 JUIN 1940 28190 ST GEORGES SUR EURE,48.40691899999999,1.3729693
545810,28380 ST REMY SUR AVRE,48.7475787,1.2454981
537739,RUE DU GENERAL DE GAULLE 28380 ST REMY SUR AVRE,48.7621226,1.2398956
526500,28700 ST SYMPHORIEN LE CHATEAU,48.51667699999999,1.75893
527562,28480 THIRON GARDAIS,48.311338,0.995197
532177,7 ROUTE DE CHATEAUNEUF 28170 TREMBLAY LES VILLAGES,48.6004018,1.3794182
545549,33 GRANDE RUE 28500 TREON,48.675795,1.325527
553049,6 RUE DES CHENES 28500 VERNOUILLET,48.7173295,1.3311719
504971,5 rue roger gommier 28150 LES VILLAGES VOVEENS,48.2724795,1.6273708
504942,Grande rue 28210 VILLEMEUX SUR EURE,48.6728081,1.4627621
505175,28150 YMONVILLE,48.261404,1.74541
504914,36140 AIGURANDE,46.434011,1.828597
518708,36120 AMBRAULT,46.785747,1.961199
535048,36210 ANJOUIN,47.189785,1.801483
500417,Rue des grands Buissons 36120 ARDENTES,46.7405141,1.8191509
580934,9 rue louise michel 36200 ARGENTON SUR CREUSE,46.5933125,1.5279785
504876,Rue Lothaire Kubel 36200 ARGENTON SUR CREUSE,46.586381,1.529797
518707,36500 ARGY,46.939238,1.43686
546477,7 PLACE DE VERDUN 36290 AZAY LE FERRON,46.8518507,1.069601
504994,8 AVENUE JEAN JAURES 36370 BELABRE,46.5514378,1.1572734
521932,rue des Davignons 36100 LES BORDES,46.9807275,1.9723119
518972,36110 BOUGES LE CHATEAU,47.0408929,1.672736
540400,4 PLACE JEAN MOULIN 36400 BRIANTES,46.5580081,2.0232386
580513,1 ROUTE D'ISSOUDUN 36110 BRION,46.9570389,1.7290356
